%	% |
%가	% 가 |
0	0 |
돌아가세요	돌 아 가 세 요 |
돌아가셔서	돌 아 가 셔 서 |
돌아가셔야	돌 아 가 셔 야 |
돌아가셨다	돌 아 가 셨 다 |
돌아가셨다는	돌 아 가 셨 다 는 |
돌아가셨단다	돌 아 가 셨 단 다 |
돌아가셨대	돌 아 가 셨 대 |
돌아가셨대요	돌 아 가 셨 대 요 |
돌아가셨어	돌 아 가 셨 어 |
돌아가셨어요	돌 아 가 셨 어 요 |
돌아가시고	돌 아 가 시 고 |
돌아가시는	돌 아 가 시 는 |
돌아가신	돌 아 가 신 |
돌아가실	돌 아 가 실 |
돌아가야	돌 아 가 야 |
돌아가요	돌 아 가 요 |
돌아가자	돌 아 가 자 |
돌아가지	돌 아 가 지 |
돌아간	돌 아 간 |
돌아간다	돌 아 간 다 |
돌아간다고	돌 아 간 다 고 |
돌아간다는	돌 아 간 다 는 |
돌아간다면	돌 아 간 다 면 |
돌아갈	돌 아 갈 |
돌아갈까	돌 아 갈 까 |
돌아갈래요	돌 아 갈 래 요 |
돌아갑니다	돌 아 갑 니 다 |
돌아갔나	돌 아 갔 나 |
돌아갔나요	돌 아 갔 나 요 |
돌아갔는데	돌 아 갔 는 데 |
돌아갔다	돌 아 갔 다 |
돌아갔다느니	돌 아 갔 다 느 니 |
돌아갔어	돌 아 갔 어 |
돌아갔으면	돌 아 갔 으 면 |
돌아갔잖아요	돌 아 갔 잖 아 요 |
돌아다녀	돌 아 다 녀 |
돌아다녀야	돌 아 다 녀 야 |
돌아다녀요	돌 아 다 녀 요 |
돌아다녔다	돌 아 다 녔 다 |
돌아다녔어요	돌 아 다 녔 어 요 |
돌아다니겠더라고요	돌 아 다 니 겠 더 라 고 요 |
돌아다니겠어	돌 아 다 니 겠 어 |
돌아다니고	돌 아 다 니 고 |
돌아다니기	돌 아 다 니 기 |
돌아다니기도	돌 아 다 니 기 도 |
돌아다니는	돌 아 다 니 는 |
돌아다니니	돌 아 다 니 니 |
돌아다니다	돌 아 다 니 다 |
돌아다니다가	돌 아 다 니 다 가 |
돌아다니려면	돌 아 다 니 려 면 |
돌아다니며	돌 아 다 니 며 |
돌아다니면	돌 아 다 니 면 |
돌아다니면서	돌 아 다 니 면 서 |
돌아다니지	돌 아 다 니 지 |
돌아다니지는	돌 아 다 니 지 는 |
돌아다닌	돌 아 다 닌 |
돌아다닌다는	돌 아 다 닌 다 는 |
돌아다닐	돌 아 다 닐 |
돌아도	돌 아 도 |
돌아버리게	돌 아 버 리 게 |
돌아버리겠어	돌 아 버 리 겠 어 |
돌아보게	돌 아 보 게 |
돌아보고	돌 아 보 고 |
돌아보기도	돌 아 보 기 도 |
돌아보는	돌 아 보 는 |
돌아보니	돌 아 보 니 |
돌아보니까	돌 아 보 니 까 |
돌아보면	돌 아 보 면 |
돌아볼	돌 아 볼 |
돌아볼까	돌 아 볼 까 |
돌아봐도	돌 아 봐 도 |
돌아봐요	돌 아 봐 요 |
돌아봤어	돌 아 봤 어 |
돌아서	돌 아 서 |
돌아서면	돌 아 서 면 |
돌아서야	돌 아 서 야 |
돌아선데요	돌 아 선 데 요 |
돌아섰나요	돌 아 섰 나 요 |
돌아섰는데	돌 아 섰 는 데 |
돌아섰으니	돌 아 섰 으 니 |
돌아오게	돌 아 오 게 |
돌아오겠네	돌 아 오 겠 네 |
돌아오겠습니다	돌 아 오 겠 습 니 다 |
돌아오기	돌 아 오 기 |
돌아오기만	돌 아 오 기 만 |
돌아오길	돌 아 오 길 |
돌아오냐	돌 아 오 냐 |
돌아오는	돌 아 오 는 |
돌아오는데	돌 아 오 는 데 |
돌아오니	돌 아 오 니 |
돌아오니까	돌 아 오 니 까 |
돌아오더니	돌 아 오 더 니 |
돌아오라	돌 아 오 라 |
돌아오면	돌 아 오 면 |
돌아오시는	돌 아 오 시 는 |
돌아오시면	돌 아 오 시 면 |
돌아오신	돌 아 오 신 |
돌아오실	돌 아 오 실 |
돌아오실지	돌 아 오 실 지 |
돌아오자	돌 아 오 자 |
돌아오자마자	돌 아 오 자 마 자 |
돌아오지	돌 아 오 지 |
돌아온	돌 아 온 |
돌아온다	돌 아 온 다 |
돌아온다는	돌 아 온 다 는 |
돌아온대	돌 아 온 대 |
돌아올	돌 아 올 |
돌아올게	돌 아 올 게 |
돌아올게요	돌 아 올 게 요 |
돌아올까	돌 아 올 까 |
돌아옵니다	돌 아 옵 니 다 |
돌아와	돌 아 와 |
돌아와서	돌 아 와 서 |
돌아와야	돌 아 와 야 |
돌아와야겠어요	돌 아 와 야 겠 어 요 |
돌아와요	돌 아 와 요 |
돌아왔구나	돌 아 왔 구 나 |
돌아왔냐고	돌 아 왔 냐 고 |
돌아왔네요	돌 아 왔 네 요 |
돌아왔다	돌 아 왔 다 |
돌아왔다던데	돌 아 왔 다 던 데 |
돌아왔대요	돌 아 왔 대 요 |
돌아왔습니다	돌 아 왔 습 니 다 |
돌아왔어	돌 아 왔 어 |
돌아왔어요	돌 아 왔 어 요 |
돌아왔으니까	돌 아 왔 으 니 까 |
돌아왔으면	돌 아 왔 으 면 |
돌아왔지	돌 아 왔 지 |
돌아왔지요	돌 아 왔 지 요 |
돌아요	돌 아 요 |
돌았네	돌 았 네 |
돌에	돌 에 |
돌을	돌 을 |
돌이	돌 이 |
돌이었어	돌 이 었 어 |
돌이킬	돌 이 킬 |
돌입을	돌 입 을 |
돌자	돌 자 |
돌잔치	돌 잔 치 |
돌잔치는	돌 잔 치 는 |
돌잔치에	돌 잔 치 에 |
돌지만	돌 지 만 |
돌진해	돌 진 해 |
돌진했어	돌 진 했 어 |
돌파구가	돌 파 구 가 |
돌팔이	돌 팔 이 |
돔에서	돔 에 서 |
돕겠다는	돕 겠 다 는 |
돕겠습니다	돕 겠 습 니 다 |
돕고	돕 고 |
돕기	돕 기 |
돕기를	돕 기 를 |
돕는	돕 는 |
돕는다고	돕 는 다 고 |
돕습니다	돕 습 니 다 |
돕자고	돕 자 고 |
돗자리	돗 자 리 |
돗자리를	돗 자 리 를 |
동	동 |
동감이다	동 감 이 다 |
동감이야	동 감 이 야 |
동감이에요	동 감 이 에 요 |
동갑	동 갑 |
동갑이	동 갑 이 |
동갑이네	동 갑 이 네 |
동갑이네요	동 갑 이 네 요 |
동갑이니까	동 갑 이 니 까 |
동갑이더라	동 갑 이 더 라 |
동갑이던데요	동 갑 이 던 데 요 |
동갑이라고	동 갑 이 라 고 |
동갑이면	동 갑 이 면 |
동갑이야	동 갑 이 야 |
동갑이었다니	동 갑 이 었 다 니 |
동갑이지	동 갑 이 지 |
동갑인	동 갑 인 |
동갑인데	동 갑 인 데 |
동거에	동 거 에 |
동결되면	동 결 되 면 |
동결됩니다	동 결 됩 니 다 |
동결로	동 결 로 |
동결시키면	동 결 시 키 면 |
동결을	동 결 을 |
동결이	동 결 이 |
동결이니까	동 결 이 니 까 |
동결한다고	동 결 한 다 고 |
동경	동 경 |
동경에	동 경 에 |
동경이	동 경 이 |
동경하게	동 경 하 게 |
동경하고	동 경 하 고 |
동경해서	동 경 해 서 |
동경했어	동 경 했 어 |
동계올림픽	동 계 올 림 픽 |
동계훈련을	동 계 훈 련 을 |
동구랍니다	동 구 랍 니 다 |
동국대학교는	동 국 대 학 교 는 |
동국대학교에	동 국 대 학 교 에 |
동국이는	동 국 이 는 |
동굴	동 굴 |
동굴도	동 굴 도 |
동그라미가	동 그 라 미 가 |
동그라미를	동 그 라 미 를 |
동그랗고	동 그 랗 고 |
동그랗네	동 그 랗 네 |
동글동글하니	동 글 동 글 하 니 |
동글동글한	동 글 동 글 한 |
동글동글합니다	동 글 동 글 합 니 다 |
동글동글해	동 글 동 글 해 |
동글동글해서	동 글 동 글 해 서 |
동급생	동 급 생 |
동기	동 기 |
동기가	동 기 가 |
동기나	동 기 나 |
동기는	동 기 는 |
동기들도	동 기 들 도 |
동기들이랑	동 기 들 이 랑 |
동기들이랑은	동 기 들 이 랑 은 |
동기를	동 기 를 |
동기부여	동 기 부 여 |
동기부여를	동 기 부 여 를 |
동기였어요	동 기 였 어 요 |
동기입니다	동 기 입 니 다 |
동기지	동 기 지 |
동기한테	동 기 한 테 |
동남아	동 남 아 |
동남아가	동 남 아 가 |
동남아는	동 남 아 는 |
동남아도	동 남 아 도 |
동남아로	동 남 아 로 |
동남아시아	동 남 아 시 아 |
동남아시아의	동 남 아 시 아 의 |
동남아에	동 남 아 에 |
동남아죠	동 남 아 죠 |
동남아하고	동 남 아 하 고 |
동남이지	동 남 이 지 |
동네	동 네 |
동네가	동 네 가 |
동네까지	동 네 까 지 |
동네나	동 네 나 |
동네는	동 네 는 |
동네도	동 네 도 |
동네라	동 네 라 |
동네라면서요	동 네 라 면 서 요 |
동네라서	동 네 라 서 |
동네로	동 네 로 |
동네를	동 네 를 |
동네만	동 네 만 |
동네야	동 네 야 |
동네에	동 네 에 |
동네에는	동 네 에 는 |
동네에다가	동 네 에 다 가 |
동네에도	동 네 에 도 |
동네에서	동 네 에 서 |
동네에서는	동 네 에 서 는 |
동네에서도	동 네 에 서 도 |
동네엔	동 네 엔 |
동네의	동 네 의 |
동네인	동 네 인 |
동년배시던데	동 년 배 시 던 데 |
동대문	동 대 문 |
동대문구에서	동 대 문 구 에 서 |
동대문시장에서	동 대 문 시 장 에 서 |
동대문에	동 대 문 에 |
동대문에는	동 대 문 에 는 |
동대문에서	동 대 문 에 서 |
동대문역에서	동 대 문 역 에 서 |
동대문은	동 대 문 은 |
동동	동 동 |
동동이야	동 동 이 야 |
동등한	동 등 한 |
동떨어져	동 떨 어 져 |
동떨어진	동 떨 어 진 |
동래	동 래 |
동료가	동 료 가 |
동료들과	동 료 들 과 |
동료들부터	동 료 들 부 터 |
동료들을	동 료 들 을 |
동료들이	동 료 들 이 |
동료들이랑	동 료 들 이 랑 |
동료를	동 료 를 |
동료야	동 료 야 |
동료와	동 료 와 |
동료의	동 료 의 |
동맥	동 맥 |
동면기가	동 면 기 가 |
동묘앞역에서	동 묘 앞 역 에 서 |
동묘에	동 묘 에 |
동묘에서	동 묘 에 서 |
동문에	동 문 에 |
동문인가요	동 문 인 가 요 |
동물	동 물 |
동물과	동 물 과 |
동물도	동 물 도 |
동물들	동 물 들 |
동물들과	동 물 들 과 |
동물들도	동 물 들 도 |
동물들은	동 물 들 은 |
동물들을	동 물 들 을 |
동물들의	동 물 들 의 |
동물들이	동 물 들 이 |
동물로	동 물 로 |
동물병원	동 물 병 원 |
동물병원에	동 물 병 원 에 |
동물병원에서	동 물 병 원 에 서 |
동물병원은	동 물 병 원 은 |
동물병원을	동 물 병 원 을 |
동물에게	동 물 에 게 |
동물원	동 물 원 |
동물원과	동 물 원 과 |
동물원에	동 물 원 에 |
동물원에서	동 물 원 에 서 |
동물원은	동 물 원 은 |
동물원이	동 물 원 이 |
동물은	동 물 은 |
동물을	동 물 을 |
동물의	동 물 의 |
동물이	동 물 이 |
동물이니까	동 물 이 니 까 |
동물이든	동 물 이 든 |
동물이라면	동 물 이 라 면 |
동물이라서	동 물 이 라 서 |
동물이야	동 물 이 야 |
동물인	동 물 인 |
동물처럼	동 물 처 럼 |
동물한테	동 물 한 테 |
동반	동 반 |
동반됩니다	동 반 됩 니 다 |
동반자가	동 반 자 가 |
동반자나	동 반 자 나 |
동반하며	동 반 하 며 |
동반한	동 반 한 |
동반한다	동 반 한 다 |
동반했어	동 반 했 어 |
동방신기가	동 방 신 기 가 |
동방신기의	동 방 신 기 의 |
동방의	동 방 의 |
동백	동 백 |
동백나무의	동 백 나 무 의 |
동병상련인	동 병 상 련 인 |
동부화재보험에	동 부 화 재 보 험 에 |
동비가	동 비 가 |
동사	동 사 |
동사가	동 사 가 |
동사구를	동 사 구 를 |
동사무소가	동 사 무 소 가 |
동사의	동 사 의 |
동산	동 산 |
동상	동 상 |
동상이	동 상 이 |
동상이몽이라는	동 상 이 몽 이 라 는 |
동생	동 생 |
동생과	동 생 과 |
동생도	동 생 도 |
동생들	동 생 들 |
동생들과	동 생 들 과 |
동생들도	동 생 들 도 |
동생들은	동 생 들 은 |
동생들이	동 생 들 이 |
동생들이랑	동 생 들 이 랑 |
동생들이었어	동 생 들 이 었 어 |
동생만	동 생 만 |
동생방은	동 생 방 은 |
동생부터	동 생 부 터 |
동생분이	동 생 분 이 |
동생아	동 생 아 |
동생에게	동 생 에 게 |
동생에게도	동 생 에 게 도 |
동생은	동 생 은 |
동생은6살	동 생 은 6 살 |
동생을	동 생 을 |
동생의	동 생 의 |
동생이	동 생 이 |
동생이나	동 생 이 나 |
동생이라고	동 생 이 라 고 |
동생이랑	동 생 이 랑 |
동생이야	동 생 이 야 |
동생이어서	동 생 이 어 서 |
동생이에요	동 생 이 에 요 |
동생인지	동 생 인 지 |
동생하고	동 생 하 고 |
동생한테	동 생 한 테 |
동생한테도	동 생 한 테 도 |
동서는	동 서 는 |
동서를	동 서 를 |
동서양	동 서 양 |
동선	동 선 |
동선만	동 선 만 |
동선을	동 선 을 |
동선이	동 선 이 |
동성	동 성 |
동수가	동 수 가 |
동승자도	동 승 자 도 |
동시	동 시 |
동시에	동 시 에 |
동식물	동 식 물 |
동식물이	동 식 물 이 |
동심으로	동 심 으 로 |
동심을	동 심 을 |
동아냉면이라고	동 아 냉 면 이 라 고 |
동아리	동 아 리 |
동아리가	동 아 리 가 |
동아리나	동 아 리 나 |
동아리니까	동 아 리 니 까 |
동아리도	동 아 리 도 |
동아리들과	동 아 리 들 과 |
동아리라고	동 아 리 라 고 |
동아리로	동 아 리 로 |
동아리를	동 아 리 를 |
동아리방	동 아 리 방 |
동아리야	동 아 리 야 |
동아리에	동 아 리 에 |
동아리에서	동 아 리 에 서 |
동아리활동해본	동 아 리 활 동 해 본 |
동안	동 안 |
동안만	동 안 만 |
동안에	동 안 에 |
동안에는	동 안 에 는 |
동안에도	동 안 에 도 |
동안으로	동 안 으 로 |
동안은	동 안 은 |
동안이	동 안 이 |
동안이구나	동 안 이 구 나 |
동안이나	동 안 이 나 |
동안이다	동 안 이 다 |
동안이라고	동 안 이 라 고 |
동안이라고는	동 안 이 라 고 는 |
동안이라는	동 안 이 라 는 |
동안이란	동 안 이 란 |
동안이세요	동 안 이 세 요 |
동안이시네요	동 안 이 시 네 요 |
동안이신	동 안 이 신 |
동안인	동 안 인 |
동안인가요	동 안 인 가 요 |
동안입니다	동 안 입 니 다 |
동양	동 양 |
동양의	동 양 의 |
동양인	동 양 인 |
동업자를	동 업 자 를 |
동업하고	동 업 하 고 |
동에	동 에 |
동에서	동 에 서 |
동영상	동 영 상 |
동영상으로	동 영 상 으 로 |
동영상으로만	동 영 상 으 로 만 |
동영상을	동 영 상 을 |
동영상이	동 영 상 이 |
동영상일까	동 영 상 일 까 |
동완이는	동 완 이 는 |
동요	동 요 |
동요가	동 요 가 |
동요를	동 요 를 |
동요하는	동 요 하 는 |
동원이는	동 원 이 는 |
동원하는	동 원 하 는 |
동원한	동 원 한 |
동유럽	동 유 럽 |
동유럽도	동 유 럽 도 |
동유럽으로	동 유 럽 으 로 |
동의	동 의 |
동의가	동 의 가 |
동의를	동 의 를 |
동의서도	동 의 서 도 |
동의하는	동 의 하 는 |
동의하니	동 의 하 니 |
동의하리라는	동 의 하 리 라 는 |
동의하셨어	동 의 하 셨 어 |
동의하시나요	동 의 하 시 나 요 |
동의하시죠	동 의 하 시 죠 |
동의하지	동 의 하 지 |
동의하지는	동 의 하 지 는 |
동의할	동 의 할 |
동의해	동 의 해 |
동의해요	동 의 해 요 |
동의했습니다	동 의 했 습 니 다 |
동의했어	동 의 했 어 |
동일본	동 일 본 |
동일해도	동 일 해 도 |
동일해요	동 일 해 요 |
동작구에서	동 작 구 에 서 |
동작역에	동 작 역 에 |
동작을	동 작 을 |
동전	동 전 |
동전으로	동 전 으 로 |
동전을	동 전 을 |
동전이	동 전 이 |
동정심이	동 정 심 이 |
동주가	동 주 가 |
동진	동 진 |
동질성을	동 질 성 을 |
동쪽	동 쪽 |
동쪽으로	동 쪽 으 로 |
동참	동 참 |
동참하느라	동 참 하 느 라 |
동참할	동 참 할 |
동참해주세요	동 참 해 주 세 요 |
동참해주셨으면	동 참 해 주 셨 으 면 |
동참해주시는	동 참 해 주 시 는 |
동창	동 창 |
동창들이랑	동 창 들 이 랑 |
동창들이에요	동 창 들 이 에 요 |
동창은	동 창 은 |
동창을	동 창 을 |
동창이	동 창 이 |
동창이에요	동 창 이 에 요 |
동창회	동 창 회 |
동창회가	동 창 회 가 |
동창회에서	동 창 회 에 서 |
동창회잖아요	동 창 회 잖 아 요 |
동치미랑	동 치 미 랑 |
동탄	동 탄 |
동탄에서	동 탄 에 서 |
동태찌개도	동 태 찌 개 도 |
동태찌개에요	동 태 찌 개 에 요 |
동태탕을	동 태 탕 을 |
동트는	동 트 는 |
동티모르로	동 티 모 르 로 |
동파될까	동 파 될 까 |
동피랑이	동 피 랑 이 |
동학	동 학 |
동해	동 해 |
동해가	동 해 가 |
동해로	동 해 로 |
동해바다	동 해 바 다 |
동해안	동 해 안 |
동해안에서	동 해 안 에 서 |
동해안으로	동 해 안 으 로 |
동해에	동 해 에 |
동해의	동 해 의 |
동행해	동 행 해 |
동향에	동 향 에 |
동향은	동 향 은 |
동향을	동 향 을 |
동향이라	동 향 이 라 |
동향인	동 향 인 |
동현	동 현 |
동호회	동 호 회 |
동호회가	동 호 회 가 |
동호회끼리	동 호 회 끼 리 |
동호회에	동 호 회 에 |
동호회에서는	동 호 회 에 서 는 |
동호회입니다	동 호 회 입 니 다 |
동화	동 화 |
동화는	동 화 는 |
동화책	동 화 책 |
동화책을	동 화 책 을 |
돼	돼 |
돼가	돼 가 |
돼가고	돼 가 고 |
돼가네요	돼 가 네 요 |
돼가는	돼 가 는 |
돼가는데	돼 가 는 데 |
돼가니	돼 가 니 |
돼가려던	돼 가 려 던 |
돼가요	돼 가 요 |
돼가잖아	돼 가 잖 아 |
돼가지고	돼 가 지 고 |
돼도	돼 도 |
돼드릴게요	돼 드 릴 게 요 |
돼버렸어	돼 버 렸 어 |
돼보고	돼 보 고 |
돼봐	돼 봐 |
돼봐야	돼 봐 야 |
돼서	돼 서 |
돼서야	돼 서 야 |
돼서요	돼 서 요 |
돼아니	돼 아 니 |
돼야	돼 야 |
돼야지	돼 야 지 |
돼요	돼 요 |
돼있나요	돼 있 나 요 |
돼있다길래	돼 있 다 길 래 |
돼있대	돼 있 대 |
돼있더라	돼 있 더 라 |
돼있더라고요	돼 있 더 라 고 요 |
돼있어	돼 있 어 |
돼있어서	돼 있 어 서 |
돼있어요	돼 있 어 요 |
돼줄게	돼 줄 게 |
돼지	돼 지 |
돼지가	돼 지 가 |
돼지갈비를	돼 지 갈 비 를 |
돼지고기	돼 지 고 기 |
돼지고기랑	돼 지 고 기 랑 |
돼지고기볶음을	돼 지 고 기 볶 음 을 |
돼지꿈	돼 지 꿈 |
돼지는	돼 지 는 |
돼지도	돼 지 도 |
돼지라고	돼 지 라 고 |
돼지를	돼 지 를 |
돼지바	돼 지 바 |
돼지우리	돼 지 우 리 |
돼지우리냐	돼 지 우 리 냐 |
돼지우리니	돼 지 우 리 니 |
돼지인	돼 지 인 |
됏냐구	됏 냐 구 |
됐거든	됐 거 든 |
됐거든요	됐 거 든 요 |
됐고	됐 고 |
됐고요	됐 고 요 |
됐구나	됐 구 나 |
됐군	됐 군 |
됐군요	됐 군 요 |
됐길래	됐 길 래 |
됐나	됐 나 |
됐나요	됐 나 요 |
됐냐고	됐 냐 고 |
됐네	됐 네 |
됐네요	됐 네 요 |
됐노	됐 노 |
됐는데	됐 는 데 |
됐는데도	됐 는 데 도 |
됐는지	됐 는 지 |
됐니	됐 니 |
됐다	됐 다 |
됐다고	됐 다 고 |
됐다며	됐 다 며 |
됐대	됐 대 |
됐대요	됐 대 요 |
됐더니	됐 더 니 |
됐더라	됐 더 라 |
됐더라고요	됐 더 라 고 요 |
됐던	됐 던 |
됐든	됐 든 |
됐습니다	됐 습 니 다 |
됐어	됐 어 |
됐어요	됐 어 요 |
됐었잖아	됐 었 잖 아 |
됐으니	됐 으 니 |
됐으니까	됐 으 니 까 |
됐으면	됐 으 면 |
됐을	됐 을 |
됐을까	됐 을 까 |
됐을지도	됐 을 지 도 |
됐잖니	됐 잖 니 |
됐잖아	됐 잖 아 |
됐잖아요	됐 잖 아 요 |
됐죠	됐 죠 |
됐지	됐 지 |
됐지만	됐 지 만 |
되	되 |
되가지고	되 가 지 고 |
되거나	되 거 나 |
되거든	되 거 든 |
되거든요	되 거 든 요 |
되게	되 게 |
되겠구나	되 겠 구 나 |
되겠군요	되 겠 군 요 |
되겠냐	되 겠 냐 |
되겠네	되 겠 네 |
되겠네요	되 겠 네 요 |
되겠는데	되 겠 는 데 |
되겠니	되 겠 니 |
되겠다	되 겠 다 |
되겠다고	되 겠 다 고 |
되겠다는	되 겠 다 는 |
되겠더라고요	되 겠 더 라 고 요 |
되겠습니까	되 겠 습 니 까 |
되겠습니다	되 겠 습 니 다 |
되겠어	되 겠 어 |
되겠어요	되 겠 어 요 |
되겠죠	되 겠 죠 |
되겠지	되 겠 지 |
되고	되 고 |
되고도	되 고 도 |
되고요	되 고 요 |
되곤	되 곤 |
되기	되 기 |
되기가	되 기 가 |
되기까지	되 기 까 지 |
되기는	되 기 는 |
되기도	되 기 도 |
되기로	되 기 로 |
되기를	되 기 를 |
되기엔	되 기 엔 |
되긴	되 긴 |
되길	되 길 |
되나	되 나 |
되나요	되 나 요 |
되냐	되 냐 |
되냐고	되 냐 고 |
되네	되 네 |
되네요	되 네 요 |
되노	되 노 |
되는	되 는 |
되는구나	되 는 구 나 |
되는군요	되 는 군 요 |
되는대로	되 는 대 로 |
되는데	되 는 데 |
되는데요	되 는 데 요 |
되는지	되 는 지 |
되는지는	되 는 지 는 |
되는지도	되 는 지 도 |
되는지를	되 는 지 를 |
되는지요	되 는 지 요 |
되니	되 니 |
되니가	되 니 가 |
되니까	되 니 까 |
되니까요	되 니 까 요 |
되니깐	되 니 깐 |
되다	되 다 |
되다니	되 다 니 |
되더니	되 더 니 |
되더라	되 더 라 |
되더라고	되 더 라 고 |
되더라고요	되 더 라 고 요 |
되던데	되 던 데 |
되도록	되 도 록 |
되도록이면	되 도 록 이 면 |
되돌려	되 돌 려 |
되돌리고	되 돌 리 고 |
되돌리기	되 돌 리 기 |
되돌리기에는	되 돌 리 기 에 는 |
되돌아가야	되 돌 아 가 야 |
되돌아가죠	되 돌 아 가 죠 |
되돌아본다면	되 돌 아 본 다 면 |
되돌아오기	되 돌 아 오 기 |
되돌아오는	되 돌 아 오 는 |
되라	되 라 |
되라고요	되 라 고 요 |
되려고	되 려 고 |
되려고요	되 려 고 요 |
되려나	되 려 나 |
되려는	되 려 는 |
되려는지는	되 려 는 지 는 |
되려면	되 려 면 |
되렴	되 렴 |
되리	되 리 |
되면	되 면 |
되면1달	되 면 1 달 |
되면서	되 면 서 |
되면은	되 면 은 |
되받아	되 받 아 |
되살아나야	되 살 아 나 야 |
되살아날까	되 살 아 날 까 |
되세요	되 세 요 |
되세요라고	되 세 요 라 고 |
되셔	되 셔 |
되셔서	되 셔 서 |
되셨나요	되 셨 나 요 |
되셨는데	되 셨 는 데 |
되셨는지	되 셨 는 지 |
되셨습니까	되 셨 습 니 까 |
되셨습니다	되 셨 습 니 다 |
되셨어	되 셨 어 |
되셨어요	되 셨 어 요 |
되시기	되 시 기 |
되시길	되 시 길 |
되시나요	되 시 나 요 |
되시는	되 시 는 |
되시는지	되 시 는 지 |
되시는지요	되 시 는 지 요 |
되시면	되 시 면 |
되시죠	되 시 죠 |
되시지	되 시 지 |
되신	되 신 |
되신거야	되 신 거 야 |
되실	되 실 |
되실까요	되 실 까 요 |
되십니까	되 십 니 까 |
되십니다	되 십 니 다 |
되어	되 어 |
되어가	되 어 가 |
되어가고	되 어 가 고 |
되어가긴	되 어 가 긴 |
되어가는	되 어 가 는 |
되어가는데	되 어 가 는 데 |
되어가니	되 어 가 니 |
되어갑니까	되 어 갑 니 까 |
되어갑니다	되 어 갑 니 다 |
되어도	되 어 도 |
되어버렸습니다	되 어 버 렸 습 니 다 |
되어버렸어	되 어 버 렸 어 |
되어버린	되 어 버 린 |
되어버릴	되 어 버 릴 |
되어서	되 어 서 |
되어서는	되 어 서 는 |
되어야	되 어 야 |
되어요	되 어 요 |
되어있나요	되 어 있 나 요 |
되어있네요	되 어 있 네 요 |
되어있는	되 어 있 는 |
되어있다	되 어 있 다 |
되어있더라	되 어 있 더 라 |
되어있던	되 어 있 던 |
되어있습니다	되 어 있 습 니 다 |
되어있어	되 어 있 어 |
되어있어서	되 어 있 어 서 |
되어있어요	되 어 있 어 요 |
되어있었는데	되 어 있 었 는 데 |
되어있었어	되 어 있 었 어 |
되어있으니	되 어 있 으 니 |
되어있지	되 어 있 지 |
되어주기를	되 어 주 기 를 |
되어주는	되 어 주 는 |
되어주시겠어요	되 어 주 시 겠 어 요 |
되어준다	되 어 준 다 |
되어줄	되 어 줄 |
되어줄게	되 어 줄 게 |
되었거든	되 었 거 든 |
되었겠어	되 었 겠 어 |
되었구나	되 었 구 나 |
되었기	되 었 기 |
되었나요	되 었 나 요 |
되었냐	되 었 냐 |
되었네	되 었 네 |
되었네요	되 었 네 요 |
되었느니	되 었 느 니 |
되었는걸	되 었 는 걸 |
되었는데	되 었 는 데 |
되었는데도	되 었 는 데 도 |
되었는지	되 었 는 지 |
되었는진	되 었 는 진 |
되었니	되 었 니 |
되었다	되 었 다 |
되었다고	되 었 다 고 |
되었다고요	되 었 다 고 요 |
되었다면	되 었 다 면 |
되었다면서요	되 었 다 면 서 요 |
되었단다	되 었 단 다 |
되었대	되 었 대 |
되었대요	되 었 대 요 |
되었든	되 었 든 |
되었습니다	되 었 습 니 다 |
되었어	되 었 어 |
되었어요	되 었 어 요 |
되었으니까	되 었 으 니 까 |
되었으면	되 었 으 면 |
되었을	되 었 을 |
되었을걸	되 었 을 걸 |
되었잖아요	되 었 잖 아 요 |
되었죠	되 었 죠 |
되었지	되 었 지 |
되었지요	되 었 지 요 |
되였으면	되 였 으 면 |
되자	되 자 |
되자보다는	되 자 보 다 는 |
되잖아	되 잖 아 |
되잖아요	되 잖 아 요 |
되죠	되 죠 |
되죠마는	되 죠 마 는 |
되지	되 지 |
되지가	되 지 가 |
되지는	되 지 는 |
되지도	되 지 도 |
되지만	되 지 만 |
되지요	되 지 요 |
되진	되 진 |
되질	되 질 |
되짚어	되 짚 어 |
되찾고	되 찾 고 |
되찾는	되 찾 는 |
되찾아봅시다	되 찾 아 봅 시 다 |
되찾았어	되 찾 았 어 |
되찾으면	되 찾 으 면 |
되찾을	되 찾 을 |
되풀이하고	되 풀 이 하 고 |
되풀이하지	되 풀 이 하 지 |
되풀이해	되 풀 이 해 |
된	된 |
된다	된 다 |
된다고	된 다 고 |
된다고요	된 다 고 요 |
된다네	된 다 네 |
된다네요	된 다 네 요 |
된다는	된 다 는 |
된다는데	된 다 는 데 |
된다는데요	된 다 는 데 요 |
된다니	된 다 니 |
된다니까	된 다 니 까 |
된다니까요	된 다 니 까 요 |
된다니깐	된 다 니 깐 |
된다더니	된 다 더 니 |
된다더라	된 다 더 라 |
된다며	된 다 며 |
된다면	된 다 면 |
된다면서	된 다 면 서 |
된다면야	된 다 면 야 |
된단	된 단 |
된단다	된 단 다 |
된대	된 대 |
된대요	된 대 요 |
된데	된 데 |
된듯하다	된 듯 하 다 |
된장	된 장 |
된장국	된 장 국 |
된장국을	된 장 국 을 |
된장보다는	된 장 보 다 는 |
된장에	된 장 에 |
된장이랑	된 장 이 랑 |
된장찌개	된 장 찌 개 |
된장찌개가	된 장 찌 개 가 |
된장찌개도	된 장 찌 개 도 |
된장찌개랑	된 장 찌 개 랑 |
